,Metric,Value
0,Accuracy,98.39440098806092
1,Precision,96.54714475431607
2,Sensitivity,98.24324324324324
3,Specificity,98.46062759029012
4,F_measure,97.38780977896853
5,Mcc,96.23655047145135
6,Npv,99.22434367541766
7,Fpr,1.5393724097098875
8,Fnr,1.7567567567567568
